id,col,size,entry_idx,entry_price,entry_fees,exit_idx,exit_price,exit_fees,pnl,return,direction,status,parent_id
0,0,907.6949023915158,1,16.3163,4.5924789241271355,12,14.69529,4.136350344871156,-1480.1113429946681,-0.09993849581905376,0,1,0
1,0,881.9372472043011,50,15.115099999999998,4.133786602416876,65,12.397590000000001,3.3908178829359477,-2404.1978931355106,-0.18035222424151354,0,1,1
2,0,1005.1750148982948,117,10.870859999999999,3.388716227362238,152,10.859129999999999,3.385061109455081,-18.56448026157358,-0.0016989367364923398,0,1,2
3,0,938.6443130858022,162,11.621609999999999,3.382963021975229,188,19.950029999999998,5.806364483671255,7808.23474248441,0.7157898088423503,0,1,3
4,0,975.7660437294512,203,19.17916,5.802765653330425,237,14.61537,4.422276346388054,-4463.41635471175,-0.23850205063046903,0,1,4
5,0,1444.026556689859,341,9.86986,4.419535384751725,351,8.8911,3.981395200637414,-1421.7563632111546,-0.09975599572547773,0,1,5
6,0,1390.2609533074267,392,9.22922,3.9789275006005482,456,10.529459999999998,4.539306100197849,1799.1546683276483,0.14021910027734827,0,1,6
7,0,1215.8907065238936,503,12.032019999999997,4.536492602599537,509,9.76023,3.6801956146660677,-2770.4650363911783,-0.18937366728936061,0,1,7
8,1,3280.582463188849,1,4.51451,4.5924789241271355,22,3.92607,3.994046881288072,-1939.0124704442612,-0.13092392716787993,0,1,8
9,1,3375.0529714461177,97,3.8138099999999997,3.991571339640359,101,3.4265700000000003,3.5864151307141183,-1314.5334991331474,-0.10212498632184407,0,1,9
10,1,2923.073041640633,141,3.95395,3.584192242427889,191,7.62237,6.908340720727197,10712.567074452176,0.9268782975209652,0,1,10
11,1,3547.7969973906065,302,6.2762699999999985,6.904058876851195,303,5.70429,6.274985509616032,-2042.447970953938,-0.09172561283795069,0,1,11
12,1,2949.622181105227,332,6.856849999999999,6.271096224278153,362,6.27372,5.73789213771348,-1732.0221708298782,-0.08563718981009553,0,1,12
13,1,2530.8433268318945,397,7.3073,5.7343357470708725,422,9.50049,7.455028032621274,5537.430912194749,0.29942366535819653,0,1,13
14,2,2995.025690077269,1,4.94494,4.5924789241271355,12,4.32567,4.017512760806927,-1863.3395507790844,-0.12581442118282846,0,1,14
15,2,2874.33904792117,56,4.504499999999999,4.015022674822831,67,3.996,3.5619262390028283,-1469.1783547817395,-0.1134723202384064,0,1,15
16,2,2288.876231697418,97,5.015009999999999,3.5597185291244386,141,4.87512,3.4604593513485424,-327.2110739326235,-0.028505842454256986,0,1,16
17,2,1534.5023462474062,181,7.2672599999999985,3.4583145314445574,244,6.6233699999999995,3.1520188095700514,-994.6610490662559,-0.0891942496475886,0,1,17
18,2,1558.6985550688291,315,6.516509999999999,3.1500651635378745,381,7.08291,3.4237476906315942,876.2730487368166,0.08627048817703395,0,1,18
19,2,1127.0198318416785,447,9.789779999999999,3.421625624903754,503,10.709280000000001,3.74287699287109,1029.1302327606509,0.09327512637515051,0,1,19
20,2,1019.4617151566105,509,11.831819999999999,3.740557128294313,540,12.95,0.0,1136.2011435255245,0.09419606204355246,0,0,20
21,3,5990.051380154538,63,2.47247,4.5924789241271355,67,2.14785,3.9896868756281267,-1953.0726448255195,-0.1318732832317106,0,1,21
22,3,6030.474199956359,152,2.1321299999999996,3.987214036345904,162,1.94805,3.643086232219746,-1117.7199909965295,-0.08692963855863824,0,1,22
23,3,5307.082668812648,188,2.21221,3.640828218740353,203,2.8771199999999997,4.734735243309216,3520.3567738581683,0.2998502917987477,0,1,23
24,3,4854.905334230656,229,3.14314,4.731800617191766,244,2.57742,3.8803803330313613,-2755.129226631188,-0.18054999562869223,0,1,24
